estaca;Area;Esfuerzo;size;distancia;M;C
1;35;1;2;4;1;1
1;35;1;1;5;1;0
1;35;1;2;6;2;0
1;35;1;5;7;5;0
1;35;1;1;8;0;1
1;35;1;3;9;3;0
1;35;1;5;10;5;0
1;35;1;2;11;2;0
1;35;1;5;12;3;2
1;35;1;4;13;4;0
1;35;1;9;14;8;1
1;35;1;4;15;3;1
1;35;1;10;16;8;2
1;35;1;4;17;2;2
1;35;1;6;18;5;1
1;35;1;6;19;4;2
1;35;1;3;20;2;1
2;35;1;7;3;0;7
2;35;1;13;4;5;8
2;35;1;15;5;13;2
2;35;1;14;6;7;7
2;35;1;17;7;11;6
2;35;1;22;8;10;12
2;35;1;13;9;6;7
2;35;1;6;10;0;6
2;35;1;20;11;9;11
2;35;1;13;12;5;8
2;35;1;5;13;2;3
2;35;1;1;14;0;1
2;35;1;12;15;6;6
2;35;1;10;16;5;5
2;35;1;16;17;10;6
2;35;1;20;18;11;9
2;35;1;22;19;14;8
2;35;1;37;20;17;20
3;35;1;1;1;0;1
3;35;1;5;3;0;5
3;35;1;2;4;0;2
3;35;1;7;5;1;6
3;35;1;11;6;5;6
3;35;1;15;7;8;7
3;35;1;10;8;6;4
3;35;1;18;9;7;11
3;35;1;18;10;5;13
3;35;1;16;11;8;8
3;35;1;18;12;11;7
3;35;1;18;13;15;3
3;35;1;19;14;14;5
3;35;1;9;15;6;3
3;35;1;16;16;6;10
3;35;1;10;17;5;5
3;35;1;15;18;9;6
3;35;1;12;19;8;4
3;35;1;28;20;17;11
3;35;1;1;114;1;0
4;35;1;3;3;1;2
4;35;1;3;6;3;0
4;35;1;2;7;1;1
4;35;1;6;8;0;6
4;35;1;6;9;3;3
4;35;1;4;10;1;3
4;35;1;3;11;3;0
4;35;1;7;12;2;5
4;35;1;9;13;4;5
4;35;1;11;14;2;9
4;35;1;7;15;3;4
4;35;1;9;16;2;7
4;35;1;13;17;7;6
4;35;1;5;18;5;0
4;35;1;10;19;4;6
4;35;1;4;20;2;2
5;35;1;1;3;1;0
5;35;1;1;5;0;1
5;35;1;4;6;0;4
5;35;1;3;7;2;1
5;35;1;8;8;2;6
5;35;1;11;9;4;7
5;35;1;10;10;7;3
5;35;1;10;11;8;2
5;35;1;11;12;8;3
5;35;1;6;13;5;1
5;35;1;7;14;3;4
5;35;1;11;15;7;4
5;35;1;4;16;0;4
5;35;1;7;17;7;0
5;35;1;9;18;8;1
5;35;1;14;19;14;0
5;35;1;8;20;8;0
6;35;1;4;2;4;0
6;35;1;1;3;1;0
6;35;1;5;4;3;2
6;35;1;6;5;5;1
6;35;1;6;6;6;0
6;35;1;4;7;3;1
6;35;1;6;8;5;1
6;35;1;7;9;5;2
6;35;1;6;10;6;0
6;35;1;5;11;4;1
6;35;1;9;12;5;4
6;35;1;11;13;8;3
6;35;1;7;14;4;3
6;35;1;5;15;3;2
6;35;1;4;16;1;3
6;35;1;13;17;6;7
6;35;1;6;18;4;2
6;35;1;13;19;10;3
6;35;1;15;20;8;7
7;35;1;3;2;3;0
7;35;1;7;3;3;4
7;35;1;10;4;6;4
7;35;1;9;5;6;3
7;35;1;16;6;14;2
7;35;1;22;7;18;4
7;35;1;11;8;9;2
7;35;1;16;9;14;2
7;35;1;12;10;8;4
7;35;1;16;11;14;2
7;35;1;7;12;5;2
7;35;1;15;13;11;4
7;35;1;21;14;19;2
7;35;1;13;15;9;4
7;35;1;6;16;3;3
7;35;1;6;17;3;3
7;35;1;7;18;3;4
7;35;1;12;19;8;4
