estaca;Area;Esfuerzo;size;distancia;m;c
1;35;1;1;14;1;0
1;35;1;1;15;1;0
1;35;1;2;16;2;0
1;35;1;1;17;1;0
1;35;1;3;18;3;0
1;35;1;3;19;3;0
1;35;1;2;20;2;0
2;35;1;2;1;0;2
2;35;1;2;2;2;0
2;35;1;8;3;1;7
2;35;1;7;4;2;5
2;35;1;6;5;2;4
2;35;1;9;6;6;3
2;35;1;13;7;9;4
2;35;1;8;8;7;1
2;35;1;17;9;9;8
2;35;1;15;10;8;7
2;35;1;10;11;3;7
2;35;1;8;12;3;5
2;35;1;3;13;1;2
2;35;1;2;14;2;0
2;35;1;5;15;4;1
2;35;1;3;16;3;0
2;35;1;7;17;4;3
2;35;1;11;18;10;1
2;35;1;19;19;18;1
2;35;1;21;20;15;6
3;35;1;2;3;0;2
3;35;1;5;5;0;5
3;35;1;10;6;4;6
3;35;1;11;7;3;8
3;35;1;12;8;2;10
3;35;1;19;9;7;12
3;35;1;15;10;6;9
3;35;1;18;11;7;11
3;35;1;29;12;21;8
3;35;1;18;13;12;6
3;35;1;14;14;7;7
3;35;1;15;15;5;10
3;35;1;13;16;5;8
3;35;1;5;17;1;4
3;35;1;13;18;8;5
3;35;1;19;19;12;7
3;35;1;29;20;20;9
4;35;1;4;4;0;4
4;35;1;2;5;1;1
4;35;1;2;6;0;2
4;35;1;2;7;2;0
4;35;1;8;8;0;8
4;35;1;3;9;1;2
4;35;1;11;10;4;7
4;35;1;7;11;4;3
4;35;1;5;12;0;5
4;35;1;6;13;2;4
4;35;1;14;14;4;10
4;35;1;6;15;1;5
4;35;1;7;16;3;4
4;35;1;4;17;2;2
4;35;1;10;18;3;7
4;35;1;4;19;3;1
4;35;1;16;20;6;10
5;35;1;1;5;1;0
5;35;1;4;6;3;1
5;35;1;3;7;1;2
5;35;1;6;8;3;3
5;35;1;8;9;5;3
5;35;1;10;10;6;4
5;35;1;6;11;4;2
5;35;1;4;12;4;0
5;35;1;4;14;3;1
5;35;1;3;15;1;2
5;35;1;6;16;5;1
5;35;1;12;17;12;0
5;35;1;22;18;20;2
5;35;1;11;19;11;0
5;35;1;15;20;15;0
6;35;1;2;1;2;0
6;35;1;4;2;4;0
6;35;1;4;3;4;0
6;35;1;4;4;3;1
6;35;1;6;5;4;2
6;35;1;7;6;6;1
6;35;1;2;7;2;0
6;35;1;12;8;11;1
6;35;1;7;9;3;4
6;35;1;3;10;3;0
6;35;1;5;11;5;0
6;35;1;18;12;18;0
6;35;1;8;13;4;4
6;35;1;5;14;1;4
6;35;1;7;15;2;5
6;35;1;4;16;2;2
6;35;1;5;17;5;0
6;35;1;5;18;3;2
6;35;1;3;19;2;1
6;35;1;19;20;11;8
7;35;1;1;2;0;1
7;35;1;4;3;3;1
7;35;1;17;4;15;2
7;35;1;20;5;18;2
7;35;1;11;6;4;7
7;35;1;16;7;16;0
7;35;1;14;8;11;3
7;35;1;11;9;9;2
7;35;1;15;10;11;4
7;35;1;9;11;6;3
7;35;1;14;12;12;2
7;35;1;16;13;15;1
7;35;1;15;14;13;2
7;35;1;8;15;4;4
7;35;1;11;16;7;4
7;35;1;10;17;10;0
7;35;1;9;18;8;1
7;35;1;12;19;10;2
7;35;1;15;20;12;3
8;35;1;1;3;0;1
8;35;1;1;6;0;1
8;35;1;1;7;0;1
8;35;1;1;8;0;1
8;35;1;2;9;0;2
8;35;1;1;10;0;1
8;35;1;3;11;0;3
8;35;1;1;12;0;1
8;35;1;1;13;0;1
8;35;1;3;14;0;3
8;35;1;5;15;0;5
8;35;1;5;16;1;4
8;35;1;2;17;2;0
8;35;1;9;18;5;4
8;35;1;7;19;5;2
8;35;1;22;20;6;16
9;35;1;3;1;3;0
9;35;1;1;3;1;0
9;35;1;3;4;3;0
9;35;1;3;5;3;0
9;35;1;3;6;3;0
9;35;1;1;9;1;0
9;35;1;5;10;5;0
9;35;1;2;11;2;0
9;35;1;3;12;3;0
9;35;1;2;13;2;0
9;35;1;4;14;4;0
9;35;1;7;15;7;0
9;35;1;2;16;2;0
9;35;1;2;17;2;0
9;35;1;4;18;4;0
9;35;1;4;19;4;0
9;35;1;9;20;9;0
10;35;1;2;1;2;0
10;35;1;6;5;6;0
10;35;1;6;6;5;1
10;35;1;8;7;6;2
10;35;1;7;8;5;2
10;35;1;2;9;2;0
10;35;1;6;10;3;3
10;35;1;4;11;3;1
10;35;1;3;12;1;2
10;35;1;2;13;1;1
10;35;1;9;14;7;2
10;35;1;3;15;0;3
10;35;1;1;16;0;1
10;35;1;5;17;3;2
10;35;1;11;18;9;2
10;35;1;7;19;6;1
10;35;1;13;20;8;5
11;35;1;2;2;1;1
11;35;1;6;3;4;2
11;35;1;13;4;10;3
11;35;1;8;5;7;1
11;35;1;11;6;6;5
11;35;1;10;7;10;0
11;35;1;13;8;3;10
11;35;1;10;9;7;3
11;35;1;11;10;10;1
11;35;1;8;11;5;3
11;35;1;7;12;5;2
11;35;1;4;13;3;1
11;35;1;5;14;0;5
11;35;1;7;15;6;1
11;35;1;6;16;3;3
11;35;1;4;17;3;1
11;35;1;5;18;4;1
11;35;1;5;19;1;4
11;35;1;17;20;13;4
12;35;1;11;1;11;0
12;35;1;4;2;4;0
12;35;1;9;3;9;0
12;35;1;9;4;9;0
12;35;1;2;5;2;0
12;35;1;11;6;11;0
12;35;1;12;7;12;0
12;35;1;7;8;6;1
12;35;1;7;9;7;0
12;35;1;10;10;10;0
12;35;1;6;11;6;0
12;35;1;3;12;3;0
12;35;1;10;13;10;0
12;35;1;5;14;5;0
12;35;1;6;15;6;0
12;35;1;14;16;14;0
12;35;1;11;17;11;0
12;35;1;11;18;11;0
12;35;1;6;19;6;0
12;35;1;5;20;5;0
13;35;1;4;2;1;3
13;35;1;5;3;0;5
13;35;1;4;4;1;3
13;35;1;6;5;0;6
13;35;1;8;6;1;7
13;35;1;7;7;0;7
13;35;1;7;8;0;7
13;35;1;7;9;1;6
13;35;1;14;10;0;14
13;35;1;13;11;0;13
13;35;1;11;12;1;10
13;35;1;13;13;1;12
13;35;1;13;14;0;13
13;35;1;10;15;0;10
13;35;1;5;16;1;4
13;35;1;12;17;1;11
13;35;1;8;18;0;8
13;35;1;7;19;0;7
13;35;1;7;20;0;7
14;35;1;4;2;4;0
14;35;1;3;3;3;0
14;35;1;4;4;4;0
14;35;1;3;5;3;0
14;35;1;5;6;5;0
14;35;1;8;7;8;0
14;35;1;14;8;14;0
14;35;1;8;9;8;0
14;35;1;14;10;14;0
14;35;1;6;11;4;2
14;35;1;7;12;7;0
14;35;1;17;13;16;1
14;35;1;15;14;15;0
14;35;1;9;15;9;0
14;35;1;9;16;8;1
14;35;1;12;17;12;0
14;35;1;18;18;17;1
14;35;1;17;19;17;0
