estaca;area;esfuerzo;size;distancia;mata;cueva
1;35,2006;1;0;21;0;0
2;35,2006;1;1;2;0;1
2;35,2006;1;4;3;0;4
2;35,2006;1;7;4;0;7
2;35,2006;1;5;5;1;4
2;35,2006;1;13;6;6;7
2;35,2006;1;12;7;5;7
2;35,2006;1;16;8;5;11
2;35,2006;1;9;9;3;6
2;35,2006;1;11;10;5;6
2;35,2006;1;6;11;5;1
2;35,2006;1;4;12;0;4
2;35,2006;1;1;13;0;1
2;35,2006;1;1;14;0;1
2;35,2006;1;8;16;4;4
2;35,2006;1;17;17;10;7
2;35,2006;1;12;18;5;7
2;35,2006;1;16;19;9;7
2;35,2006;1;19;20;8;11
3;35,2006;1;2;2;0;2
3;35,2006;1;3;3;0;3
3;35,2006;1;5;4;0;5
3;35,2006;1;2;5;0;2
3;35,2006;1;12;6;6;6
3;35,2006;1;5;7;3;2
3;35,2006;1;10;8;1;9
3;35,2006;1;15;9;7;8
3;35,2006;1;17;10;7;10
3;35,2006;1;22;11;16;6
3;35,2006;1;19;12;12;7
3;35,2006;1;12;13;7;5
3;35,2006;1;11;14;7;4
3;35,2006;1;11;15;7;4
3;35,2006;1;12;16;6;6
3;35,2006;1;13;17;7;6
3;35,2006;1;11;18;3;8
3;35,2006;1;12;19;6;6
3;35,2006;1;18;20;15;3
4;35,2006;1;1;2;1;0
4;35,2006;1;1;3;0;1
4;35,2006;1;3;4;1;2
4;35,2006;1;2;5;1;1
4;35,2006;1;3;6;1;2
4;35,2006;1;5;7;2;3
4;35,2006;1;4;8;0;4
4;35,2006;1;3;9;0;3
4;35,2006;1;6;10;1;5
4;35,2006;1;6;11;1;5
4;35,2006;1;6;12;3;3
4;35,2006;1;9;13;3;6
4;35,2006;1;4;14;2;2
4;35,2006;1;9;15;1;8
4;35,2006;1;4;16;3;1
4;35,2006;1;4;17;3;1
4;35,2006;1;5;18;2;3
4;35,2006;1;7;19;4;3
4;35,2006;1;13;20;1;12
5;35,2006;1;1;3;1;0
5;35,2006;1;3;4;1;2
5;35,2006;1;2;6;0;2
5;35,2006;1;1;7;1;0
5;35,2006;1;3;8;3;0
