"temporada","Bloque","Primera fecha","Ultima fecha","Adultos","Juveniles","Pichones","Total agrupado"
"2015-2016","1","2015-10-30","2015-11-01","1391",NA,NA,NA
"2015-2016","3","2015-11-27","2015-11-28","449",NA,NA,NA
"2015-2016","4","2015-12-17","2015-12-18","135",NA,"22",NA
"2015-2016","5","2016-01-03","2016-01-03","426",NA,"202",NA
"2015-2016","6","2016-01-18","2016-01-18","202","67","1323","1592"
"2015-2016","7","2016-02-04","2016-02-04","202","1682","650","2534"
"2016-2017","1","2016-11-02","2016-11-05","213",NA,NA,NA
"2016-2017","2","2016-11-17","2016-11-18","76",NA,NA,NA
"2016-2017","3","2016-12-02","2016-12-02","152",NA,NA,NA
"2016-2017","4","2016-12-18","2016-12-20","30","15","91","136"
"2016-2017","5","2017-01-02","2017-01-03","30",NA,"304",NA
"2016-2017","7","2017-01-23","2017-01-23","107",NA,"274",NA
"2016-2017","8","2017-02-14","2017-02-19","91","365","137","593"
"2016-2017","10","2017-03-17","2017-03-18","472",NA,NA,NA
"2016-2017","12","2017-04-03","2017-04-03","167",NA,NA,NA
"2017-2018","2","2017-11-20","2017-11-22","205",NA,NA,NA
"2017-2018","5","2017-12-25","2017-12-25","29",NA,"58",NA
"2017-2018","6","2018-01-15","2018-01-15","58","88","29","175"
"2017-2018","7","2018-01-29","2018-01-29","88","58","205","351"
"2017-2018","4","2017-12-11","2017-12-11",NA,NA,"88",NA
"2018-2019","1","2018-10-24","2018-10-26","77",NA,NA,NA
"2018-2019","2","2018-11-14","2018-11-18","15",NA,NA,NA
"2018-2019","3","2018-11-28","2018-11-28","31",NA,"46",NA
"2018-2019","5","2018-12-27","2018-12-27","15",NA,NA,NA
"2018-2019","6","2019-01-11","2019-01-11","77",NA,"31",NA
"2018-2019","7","2019-01-26","2019-01-26","77",NA,"644",NA
"2018-2019","8","2019-02-12","2019-02-12","46","77","15","138"
"2018-2019","9","2019-02-28","2019-02-28","77",NA,"107",NA
"2018-2019","11","2019-03-20","2019-03-20","107",NA,NA,NA
"2019-2020","1","2019-10-31","2019-11-02","436",NA,NA,NA
"2019-2020","2","2019-11-21","2019-11-21","62",NA,NA,NA
"2019-2020","5","2019-12-23","2020-01-06","21",NA,"1493",NA
"2019-2020","7","2020-01-22","2020-01-22","145","41","1079","1265"
"2019-2020","9","2020-02-20","2020-02-20","21","124",NA,NA
"2019-2020","10","2020-03-04","2020-03-04","41",NA,NA,NA
"2019-2020","8","2020-02-06","2020-02-06",NA,"207","41",NA
"2021-2022","1","2021-11-03","2021-11-04","196",NA,NA,NA
"2021-2022","2","2021-11-19","2021-11-19","52",NA,NA,NA
"2021-2022","4","2021-12-17","2021-12-17","13",NA,"576",NA
"2021-2022","5","2022-01-03","2022-01-03","13",NA,"131",NA
"2021-2022","6","2022-01-14","2022-01-14","65",NA,"131",NA
"2021-2022","9","2022-02-26","2022-02-26","39","170",NA,NA
"2021-2022","10","2022-03-11","2022-03-11","131","105",NA,NA
"2021-2022","11","2022-03-26","2022-03-26","118",NA,NA,NA
"2021-2022","12","2022-04-08","2022-04-08","445","13",NA,NA
"2021-2022","13","2022-04-30","2022-04-30","275",NA,NA,NA
"2021-2022","7","2022-01-28","2022-01-28",NA,"1100",NA,NA
