estaca;size;distancia;M;C
1;2;4;1;1
1;1;5;1;0
1;2;6;2;0
1;5;7;5;0
1;1;8;0;1
1;3;9;3;0
1;5;10;5;0
1;2;11;2;0
1;5;12;3;2
1;4;13;4;0
1;9;14;8;1
1;4;15;3;1
1;10;16;8;2
1;4;17;2;2
1;6;18;5;1
1;6;19;4;2
1;3;20;2;1
2;7;3;0;7
2;13;4;5;8
2;15;5;13;2
2;14;6;7;7
2;17;7;11;6
2;22;8;10;12
2;13;9;6;7
2;6;10;0;6
2;20;11;9;11
2;13;12;5;8
2;5;13;2;3
2;1;14;0;1
2;12;15;6;6
2;10;16;5;5
2;16;17;10;6
2;20;18;11;9
2;22;19;14;8
2;37;20;17;20
3;1;1;0;1
3;5;3;0;5
3;2;4;0;2
3;7;5;1;6
3;11;6;5;6
3;15;7;8;7
3;10;8;6;4
3;18;9;7;11
3;18;10;5;13
3;16;11;8;8
3;18;12;11;7
3;18;13;15;3
3;19;14;14;5
3;9;15;6;3
3;16;16;6;10
3;10;17;5;5
3;15;18;9;6
3;11;19;8;3
3;28;20;17;11
4;3;3;1;2
4;3;6;3;0
4;2;7;1;1
4;6;8;0;6
4;6;9;3;3
4;4;10;1;3
4;3;11;3;0
4;7;12;2;5
4;9;13;4;5
4;11;14;2;9
4;7;15;3;4
4;9;16;2;7
4;12;17;6;6
4;5;18;5;0
4;11;19;4;7
4;4;20;2;2
5;1;3;1;0
5;1;5;0;1
5;4;6;0;4
5;3;7;2;1
5;8;8;2;6
5;11;9;4;7
5;9;10;6;3
5;10;11;8;2
5;11;12;8;3
5;6;13;5;1
5;7;14;3;4
5;11;15;7;4
5;4;16;0;4
5;8;17;8;0
5;9;18;8;1
5;14;19;14;0
5;8;20;8;0
6;4;2;4;0
6;1;3;1;0
6;5;4;3;2
6;6;5;5;1
6;6;6;6;0
6;4;7;3;1
6;6;8;5;1
6;7;9;5;2
6;7;10;7;0
6;5;11;4;1
6;9;12;5;4
6;11;13;8;3
6;7;14;4;3
6;5;15;3;2
6;4;16;1;3
6;13;17;6;7
6;6;18;4;2
6;13;19;10;3
6;14;20;7;7
7;3;2;3;0
7;7;3;3;4
7;10;4;6;4
7;9;5;6;3
7;16;6;14;2
7;21;7;17;4
7;11;8;9;2
7;16;9;14;2
7;12;10;8;4
7;16;11;14;2
7;7;12;5;2
7;15;13;11;4
7;21;14;19;2
7;13;15;9;4
7;6;16;3;3
7;6;17;3;3
7;7;18;3;4
7;12;19;8;4
7;15;20;11;4
8;1;5;0;1
8;2;6;0;2
8;4;7;1;3
8;2;8;0;2
8;1;9;0;1
8;1;10;0;1
8;1;11;0;1
8;3;12;0;3
8;3;13;0;3
8;3;14;0;3
8;3;15;0;3
8;8;16;0;8
8;3;17;0;3
8;9;18;3;6
8;8;19;2;6
8;28;20;7;21
9;1;2;1;0
9;7;3;7;0
9;4;4;4;0
9;5;5;5;0
9;4;6;4;0
9;2;9;2;0
9;3;11;3;0
9;2;12;2;0
9;1;13;1;0
9;2;14;2;0
9;10;15;9;1
9;6;16;6;0
9;10;17;10;0
9;8;18;5;3
9;6;19;6;0
9;2;20;2;0
10;7;4;6;1
10;2;5;1;1
10;5;6;5;0
10;6;7;5;1
10;6;8;5;1
10;3;9;1;2
10;1;10;0;1
10;3;11;1;2
10;3;12;1;2
10;3;13;0;3
10;4;14;2;2
10;2;15;2;0
10;2;16;1;1
10;3;17;2;1
10;9;18;4;5
10;12;19;7;5
10;10;20;8;2
11;5;2;5;0
11;6;3;6;0
11;8;4;8;0
11;10;5;5;5
11;4;6;3;1
11;11;7;7;4
11;15;8;9;6
11;12;9;10;2
11;5;10;0;5
11;15;11;15;0
11;10;12;8;2
11;7;13;4;3
11;5;14;5;0
11;8;15;2;6
11;4;16;3;1
11;17;17;14;3
11;5;18;3;2
11;4;19;3;1
11;17;20;15;2
12;3;1;3;0
12;3;2;3;0
12;9;3;9;0
12;6;4;6;0
12;9;5;9;0
12;12;6;12;0
12;9;7;9;0
12;6;8;4;2
12;4;9;2;2
12;7;10;7;0
12;6;11;6;0
12;11;12;11;0
12;3;13;3;0
12;11;14;11;0
12;9;15;9;0
12;16;16;15;1
12;9;17;9;0
12;9;18;9;0
12;10;19;8;2
12;10;20;8;2
13;3;2;0;3
13;3;4;0;3
13;8;5;0;8
13;7;6;0;7
13;6;7;0;6
13;2;8;1;1
13;11;9;0;11
13;11;10;0;11
13;5;11;0;5
13;9;12;0;9
13;3;13;0;3
13;7;14;1;6
13;8;15;0;8
13;16;16;1;15
13;7;17;3;4
13;10;18;0;10
13;8;19;2;6
13;39;20;1;38
14;2;4;2;0
14;7;5;7;0
14;10;6;10;0
14;14;7;14;0
14;16;8;16;0
14;15;9;15;0
14;12;10;12;0
14;11;11;11;0
14;8;12;8;0
14;17;13;17;0
14;10;14;10;0
14;14;15;14;0
14;13;16;13;0
14;7;17;7;0
14;6;18;3;3
14;11;19;11;0
14;11;20;11;0
15;3;3;1;2
15;1;4;0;1
15;4;5;2;2
15;2;6;1;1
15;4;7;1;3
15;7;8;4;3
15;9;9;4;5
15;14;10;5;9
15;12;11;3;9
15;9;12;5;4
15;7;13;2;5
15;9;14;3;6
15;11;15;6;5
15;10;16;4;6
15;12;17;7;5
15;16;18;12;4
15;20;19;14;6
15;32;20;28;4
16;1;2;0;1
16;1;3;0;1
16;1;5;0;1
16;5;6;0;5
16;7;7;0;7
16;4;8;0;4
16;9;9;0;9
16;8;10;0;8
16;4;11;0;4
16;9;12;3;6
16;11;13;4;7
16;12;14;4;8
16;10;15;5;5
16;6;16;4;2
16;7;17;0;7
16;5;18;0;5
16;6;19;0;6
16;15;20;1;14
17;2;5;2;0
17;9;6;8;1
17;6;7;5;1
17;6;8;4;2
17;7;9;6;1
17;9;10;4;5
17;16;11;11;5
17;7;12;6;1
17;8;13;6;2
17;16;14;13;3
17;13;15;11;2
17;15;16;12;3
17;17;17;17;0
17;31;18;25;6
17;19;19;16;3
17;17;20;15;2
18;5;2;4;1
18;2;3;2;0
18;6;4;5;1
18;1;5;1;0
18;4;6;4;0
18;7;7;7;0
18;11;8;11;0
18;8;9;8;0
18;16;10;16;0
18;6;11;6;0
18;12;12;12;0
18;23;13;23;0
18;20;14;20;0
18;17;15;17;0
18;20;16;19;1
18;8;17;7;1
18;13;18;10;3
18;13;19;12;1
18;15;20;15;0
19;2;2;2;0
19;4;3;4;0
19;8;5;8;0
19;4;8;4;0
19;4;10;4;0
19;7;11;7;0
19;6;12;6;0
19;5;13;3;2
19;4;14;4;0
19;9;15;8;1
19;3;16;3;0
19;6;17;6;0
19;7;18;7;0
19;21;19;20;1
19;28;20;23;5
20;6;5;6;0
20;7;6;7;0
20;2;7;2;0
20;5;8;5;0
20;1;10;1;0
20;4;12;4;0
20;14;13;14;0
20;10;14;10;0
20;30;15;30;0
20;11;16;11;0
20;6;17;6;0
20;12;18;12;0
20;14;19;14;0
20;11;20;11;0
21;2;1;2;0
21;3;2;3;0
21;3;3;3;0
21;8;4;8;0
21;12;5;11;1
21;19;6;18;1
21;11;7;11;0
21;17;8;17;0
21;11;9;10;1
21;14;10;14;0
21;17;11;17;0
21;12;12;12;0
21;13;13;13;0
21;7;14;7;0
21;14;15;14;0
21;12;16;12;0
21;5;17;5;0
21;10;18;10;0
21;13;19;13;0
21;16;20;16;0
22;1;2;1;0
22;2;3;2;0
22;7;4;7;0
22;11;5;11;0
22;1;6;1;0
22;3;7;3;0
22;7;8;6;1
22;11;9;9;2
22;14;10;12;2
22;8;11;8;0
22;9;12;5;4
22;20;13;19;1
22;19;14;12;7
22;18;15;15;3
22;8;16;3;5
22;11;17;11;0
22;20;18;16;4
22;13;19;10;3
22;5;20;3;2
23;2;5;2;0
23;1;6;1;0
23;5;7;5;0
23;4;8;3;1
23;1;9;1;0
23;2;10;2;0
23;4;11;3;1
23;12;12;8;4
23;18;13;16;2
23;7;14;5;2
23;9;15;6;3
23;19;16;18;1
23;8;17;6;2
23;11;18;9;2
23;16;19;12;4
23;20;20;16;4
24;2;2;2;0
24;3;3;3;0
24;8;4;8;0
24;3;5;3;0
24;4;6;3;1
24;13;7;9;4
24;14;8;13;1
24;11;9;10;1
24;9;10;8;1
24;18;11;17;1
24;18;12;17;1
24;12;13;12;0
24;17;14;15;2
24;17;15;15;2
24;21;16;20;1
24;19;17;17;2
24;17;18;16;1
24;57;19;53;4
24;43;20;37;6
25;1;4;1;0
25;1;10;1;0
25;2;11;2;0
25;1;12;0;1
25;1;13;1;0
25;1;14;1;0
25;9;15;7;2
25;5;16;4;1
25;5;17;4;1
25;7;18;5;2
25;6;19;4;2
26;1;3;1;0
26;3;5;3;0
26;3;6;3;0
26;6;7;6;0
26;3;8;3;0
26;6;9;6;0
26;5;10;5;0
26;1;14;0;1
26;4;16;4;0
26;3;17;3;0
26;7;18;5;2
26;2;19;2;0
26;8;20;6;2
27;5;4;5;0
27;1;5;1;0
27;4;7;4;0
27;5;8;5;0
27;1;9;1;0
27;9;10;9;0
27;2;11;2;0
27;10;12;9;1
27;8;13;8;0
27;12;14;12;0
27;9;15;9;0
27;13;16;13;0
27;22;17;22;0
27;11;18;9;2
27;5;19;5;0
27;12;20;11;1
28;1;3;1;0
28;3;5;3;0
28;2;6;2;0
28;3;7;2;1
28;5;8;4;1
28;3;9;0;3
28;5;10;1;4
28;2;11;2;0
28;6;12;3;3
28;1;13;1;0
28;1;14;1;0
28;2;15;0;2
28;3;16;0;3
28;3;17;2;1
28;5;18;2;3
28;5;19;0;5
28;10;20;2;8
29;3;4;3;0
29;3;5;3;0
29;2;6;2;0
29;6;7;6;0
29;9;8;9;0
29;10;9;10;0
29;2;10;1;1
29;14;11;9;5
29;14;12;13;1
29;23;13;20;3
29;19;14;17;2
29;19;15;19;0
29;11;16;9;2
29;19;17;13;6
29;9;18;7;2
29;10;19;7;3
29;12;20;9;3
30;2;5;2;0
30;3;6;3;0
30;6;7;5;1
30;9;8;6;3
30;9;9;8;1
30;7;10;7;0
