estaca;Area;Esfuerzo;size;distancia;m;c
1;35;1;1;13;1;0
1;35;1;1;15;1;0
2;35;1;2;2;0;2
2;35;1;8;3;0;8
2;35;1;3;4;0;3
2;35;1;7;5;6;1
2;35;1;8;6;6;2
2;35;1;8;7;4;4
2;35;1;15;8;8;7
2;35;1;13;9;3;10
2;35;1;11;10;4;7
2;35;1;10;11;2;8
2;35;1;5;12;0;5
2;35;1;1;13;0;1
2;35;1;3;14;1;2
2;35;1;7;15;5;2
2;35;1;12;16;11;1
2;35;1;16;17;13;3
2;35;1;20;18;12;8
2;35;1;15;19;11;4
2;35;1;19;20;15;4
3;35;1;1;2;0;1
3;35;1;3;3;1;2
3;35;1;1;4;0;1
3;35;1;3;5;1;2
3;35;1;8;6;3;5
3;35;1;17;7;9;8
3;35;1;24;8;15;9
3;35;1;23;9;12;11
3;35;1;24;10;12;12
3;35;1;23;11;14;9
3;35;1;23;12;16;7
3;35;1;18;13;9;9
3;35;1;11;14;5;6
3;35;1;16;15;12;4
3;35;1;15;16;10;5
3;35;1;16;17;10;6
3;35;1;20;18;14;6
3;35;1;18;19;13;5
3;35;1;26;20;18;8
4;35;1;1;2;1;0
4;35;1;1;4;1;0
4;35;1;3;5;3;0
4;35;1;2;6;2;0
4;35;1;3;7;1;2
4;35;1;5;8;1;4
4;35;1;8;9;4;4
4;35;1;3;10;1;2
4;35;1;6;11;4;2
4;35;1;6;12;1;5
4;35;1;7;13;3;4
4;35;1;10;14;1;9
4;35;1;5;15;1;4
4;35;1;9;16;3;6
4;35;1;8;17;4;4
4;35;1;6;18;6;0
4;35;1;4;19;3;1
4;35;1;14;20;9;5
5;35;1;1;3;1;0
5;35;1;1;4;1;0
5;35;1;1;5;0;1
5;35;1;4;7;1;3
5;35;1;6;8;3;3
5;35;1;9;9;3;6
5;35;1;12;10;8;4
5;35;1;3;11;2;1
5;35;1;5;12;1;4
5;35;1;3;13;1;2
5;35;1;8;14;1;7
5;35;1;5;15;2;3
5;35;1;5;16;4;1
5;35;1;14;17;13;1
5;35;1;9;18;8;1
5;35;1;7;19;7;0
5;35;1;9;20;8;1
6;35;1;2;1;2;0
6;35;1;2;2;2;0
6;35;1;3;3;3;0
6;35;1;8;4;8;0
6;35;1;5;5;5;0
6;35;1;7;6;6;1
6;35;1;4;7;4;0
6;35;1;9;8;8;1
6;35;1;9;9;9;0
6;35;1;4;10;4;0
6;35;1;10;11;9;1
6;35;1;8;12;8;0
6;35;1;9;13;8;1
6;35;1;7;14;7;0
6;35;1;11;15;9;2
6;35;1;14;16;9;5
6;35;1;12;17;10;2
6;35;1;4;18;3;1
6;35;1;10;19;8;2
6;35;1;12;20;8;4
7;35;1;2;2;1;1
7;35;1;8;3;4;4
7;35;1;11;4;9;2
7;35;1;14;5;12;2
7;35;1;14;6;12;2
7;35;1;11;7;9;2
7;35;1;12;8;12;0
7;35;1;15;9;14;1
7;35;1;16;10;12;4
7;35;1;13;11;11;2
7;35;1;12;12;11;1
7;35;1;19;13;16;3
7;35;1;15;14;15;0
7;35;1;16;15;15;1
7;35;1;11;16;6;5
7;35;1;8;17;6;2
7;35;1;14;18;11;3
7;35;1;11;19;6;5
7;35;1;23;20;21;2
8;35;1;1;1;0;1
8;35;1;1;6;0;1
