"yr","n_muestras","dens_media","dens_sd","dens_se","dens_ICmin","dens_ICmax","area_ha","abund","sd_abund","se_abund","ICmin_abund","ICmax_abund"
2015,38,1276.74210526316,512.959218837173,83.212973461892,1108.13660560843,1445.34760491788,36.84525,47041.8820539474,18900.1106578603,3066.00281044678,40829.570267794,53254.1938401007
2016,38,1467.15368421053,533.260931740921,86.5063461805267,1291.87517757536,1642.4321908457,37.275307,54688.6039951284,19877.4649417489,3224.55061132741,48155.0438498009,61222.1641404559
2017,38,1272.34315789474,441.042503229137,71.5465416528995,1127.37609444183,1417.31022134764,36.446687,46372.692832381,16074.5380688888,2607.63440955569,41089.1236454039,51656.2620193581
2018,38,1343.77368421053,470.238916276242,76.2828252693216,1189.20999859126,1498.33736982979,36.44669,48976.1028985789,17138.6520074561,2780.25648491513,43342.7681635561,54609.4376336018
2019,38,1462.12631578947,590.222362606836,95.7467104452371,1268.1250527255,1656.12757885344,42.591687,62274.4263965684,25138.5661285508,4078.01392256317,54011.5853225432,70537.2674705937
2020,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,38,1367.02526315789,473.634676727304,76.8336903555125,1211.34541885284,1522.70510746295,37.058882,50660.4279183874,17552.3715959453,2847.37066450948,44891.1069385081,56429.7488982667
2022,38,1232.33368421053,556.624539865657,90.2964238932637,1049.37575067951,1415.29161774154,42.016034,51777.7739751347,23387.1555922298,3793.89761637778,44090.607219326,59464.9407309435
2023,38,1023.69789473684,414.364674973288,67.2188264405532,887.499615229331,1159.89617424435,35.280076,36116.1395273558,14618.8172247729,2371.48530545353,31311.0538752616,40921.22517945
2024,38,979.917894736842,488.756366517782,79.2867523632224,819.267674680425,1140.56811479326,32.895509,32234.8979255768,16077.889453593,2608.17807594515,26950.227165859,37519.5686852947
2025,38,802.493684210526,546.070410925883,88.5843180978562,623.004806538077,981.982561882976,32.7037,26244.5127003158,17858.5228977968,2897.03496377686,20374.5622915793,32114.4631090523
